Accession,SRA_Accession,Submitters,Release_Date,Pangolin,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
OK377354,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS459,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29764,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-04-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS459/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377355,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS460,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29782,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-04-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS460/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377356,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS458,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29764,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-04-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS458/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377357,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,G6945,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29782,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2020-09-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/G6945/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377358,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS461,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29764,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-04-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS461/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377359,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS468,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29776,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS468/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OK377360,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS469,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29763,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS469/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a gene, complete sequence; and envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377361,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS488,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29593,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS488/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds"
OK377362,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS467,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29764,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS467/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377363,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS486,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29593,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS486/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds"
OK377364,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS472,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29776,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-18,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS472/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OK377365,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS484,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29773,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-18,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS484/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S), ORF3a protein (ORF3a), and membrane glycoprotein (M) genes, partial cds; and ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377366,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS1023,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29776,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS1023/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OK377367,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS475,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29764,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS475/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377368,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS474,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29763,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS474/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377369,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS477,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29764,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS477/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, complete cds; ORF3a gene, complete sequence; and envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK377370,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS476,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29773,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS476/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), and membrane glycoprotein (M) genes, partial cds; ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OK377371,,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J., Pool,B., Gedeon,J., Louange,M., Biscornet,L.",2021-10-05T00:00:00Z,,SS480,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29759,GenBank,partial,,,,Seychelles,Seychelles,,Homo sapiens,,2021-05-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS480/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
